id;nev; 
1;Abaliget;
2;Ágasegyháza;
3;Aggtelek;
4;Apaj;
5;Ásotthalom;
6;Babócsa;
7;Bakonybél;
8;Balatonederics;
9;Balatonmagyaród;
10;Barcs;
11;Bélapátfalva;
12;Berettyóújfalu;
13;Biharugra;
14;Budapest;
15;Bugac;
16;Bükkszentkereszt;
17;Cégénydányád;
18;Celldömölk;
19;Csáfordjánosfa;
20;Csákvár;
21;Császártöltés;
22;Cserépfalu;
23;Cserkút;
24;Csopak;
25;Dejtár;
26;Dévaványa;
27;Drégelypalánk;
28;Dunapataj;
29;Dunaremete;
30;Esztergom;
31;Farmos;
32;Felsőtárkány;
33;Fertőrákos;
34;Fót;
35;Fülöpháza;
36;Fülöpszállás;
37;Gánt;
38;Garadna;
39;Gyékényes;
40;Gyöngyös;
41;Győr;
42;Hollókő;
43;Hortobágy;
44;Ipolytarnóc;
45;Izsák;
46;Jósvafő;
47;Kaposvár;
48;Kecskemét;
49;Kékkút;
50;Kercaszomor;
51;Kisapáti;
52;Kisszentmárton;
53;Kölked;
54;Kőszeg;
55;Kunadacs;
56;Lakitelek;
57;Magyaregregy;
58;Magyarszombatfa;
59;Matty;
60;Miskolc;
61;Mohács;
62;Mórahalom;
63;Nagykovácsi;
64;Nagykőrös;
65;Óbánya;
66;Ócsa;
67;Old;
68;Orfű;
69;Orgovány;
70;Osli;
71;Őriszentpéter;
72;Őrtilos;
73;Paks;
74;Pálmonostora;
75;Pannonhalma;
76;Parád;
77;Pécs;
78;Perkupa;
79;Pilisszentiván;
80;Poroszló;
81;Pörböly;
82;Ravazd;
83;Salgótarján;
84;Sámsonháza;
85;Sarród;
86;Somlójenő;
87;Szabadkígyós;
88;Szalafő;
89;Szarvas;
90;Szarvaskő;
91;Szatymaz;
92;Szeghalom;
93;Szekszárd;
94;Szeremle;
95;Szigliget;
96;Szilvásvárad;
97;Szögliget;
98;Tarpa;
99;Tihany;
100;Tiszaalpár;
101;Tiszafüred;
102;Tiszalúc;
103;Tokaj;
104;Vámospércs;
105;Villány;
106;Vízvár;
